"자치구별(1)","자치구별(2)",사고현황별(1),2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"자치구별(1)","자치구별(2)",사고현황별(1),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명),발생건수 (건),사망자수 (명),부상자수 (명)
"합계","마포구",어린이 보행 사상자,-,-,23,-,-,21,-,-,14,-,-,5,-,-,6,-,-,12
"합계","양천구",어린이 교통사고,84,-,96,72,-,85,81,2,94,47,1,49,68,-,79,60,-,70
"합계","양천구",어린이보호구역내 어린이 교통사고,5,-,5,3,-,3,8,1,7,4,-,4,5,-,5,6,-,6
"합계","양천구",어린이 보행 사상자,-,-,40,-,-,36,-,2,39,-,1,13,-,-,25,-,-,25
"합계","강서구",어린이 교통사고,62,-,73,64,-,73,90,1,110,43,-,50,58,-,71,63,-,67
"합계","강서구",어린이보호구역내 어린이 교통사고,4,-,4,6,-,6,16,1,15,5,-,5,5,-,6,9,-,10
"합계","강서구",어린이 보행 사상자,-,-,27,-,-,30,-,1,42,-,-,14,-,-,24,-,-,23
"합계","구로구",어린이 교통사고,68,-,94,63,-,77,81,-,94,32,-,39,33,-,36,50,-,62
"합계","구로구",어린이보호구역내 어린이 교통사고,10,-,11,9,-,9,13,-,13,4,-,5,4,-,4,4,-,4
"합계","구로구",어린이 보행 사상자,-,-,29,-,-,23,-,-,44,-,-,16,-,-,16,-,-,22
"합계","금천구",어린이 교통사고,44,-,51,26,-,36,30,-,32,20,-,23,27,-,49,27,-,31
"합계","금천구",어린이보호구역내 어린이 교통사고,-,-,-,1,-,1,1,-,1,1,-,1,1,-,15,2,-,2
"합계","금천구",어린이 보행 사상자,-,-,18,-,-,7,-,-,18,-,-,7,-,-,12,-,-,10
"합계","영등포구",어린이 교통사고,89,-,117,85,-,96,74,-,92,50,-,58,79,1,96,39,1,53
"합계","영등포구",어린이보호구역내 어린이 교통사고,4,-,4,5,-,5,2,-,2,4,-,4,4,1,3,2,-,2
"합계","영등포구",어린이 보행 사상자,-,-,20,-,-,37,-,-,33,-,-,14,-,1,20,-,-,5
"합계","동작구",어린이 교통사고,46,-,54,43,1,48,57,-,66,24,-,29,37,-,39,35,-,42
"합계","동작구",어린이보호구역내 어린이 교통사고,4,-,4,4,1,3,4,-,4,2,-,2,1,-,1,-,-,-
